year,id,topfederalrate,topstaterate,state_full,state,millionaire_shr_tr,millionaire_share
2010,11,32.9,6,"GEORGIA","GA",.0013001,.0215583
2011,11,32.9,6,"GEORGIA","GA",.0013642,.0213815
2012,11,32.9,6,"GEORGIA","GA",.0019537,.0219453
2013,11,38.34,6.18,"GEORGIA","GA",.0017712,.0226313
2014,11,38.34,6.18,"GEORGIA","GA",.0020945,.0227149
2015,11,38.34,6.18,"GEORGIA","GA",.0023162,.0238653
2016,11,38.34,6.18,"GEORGIA","GA",.002266,.0240092
2017,11,38.34,6.18,"GEORGIA","GA",.0028332,.0263266
2001,12,37.12,8.07,"HAWAII","HI",.0006786,.0020654
2010,12,31.53,9.91,"HAWAII","HI",.0009535,.0022509
2011,12,31.15,11,"HAWAII","HI",.0009412,.0020902
2012,12,31.15,11,"HAWAII","HI",.0012776,.0022023
2013,12,36.43,11,"HAWAII","HI",.0010218,.0020227
2014,12,36.43,11,"HAWAII","HI",.0012613,.0021303
2015,12,36.43,11,"HAWAII","HI",.0013942,.0022265
2016,12,37.42,8.5,"HAWAII","HI",.0014739,.0024129
2017,12,40.79,0,"HAWAII","HI",.0016022,.0022706
2001,13,37.19,7.88,"IDAHO","ID",.0006402,.0019021
2010,13,32.27,7.8,"IDAHO","ID",.000995,.0023845
2011,13,32.27,7.8,"IDAHO","ID",.0010322,.002325
2012,13,32.41,7.4,"IDAHO","ID",.0015017,.0026428
2013,13,37.82,7.48,"IDAHO","ID",.0012724,.0025797
2014,13,37.82,7.48,"IDAHO","ID",.0014245,.0024771
2015,13,37.82,7.49,"IDAHO","ID",.0015792,.002644
2016,13,37.82,7.49,"IDAHO","ID",.0016492,.0029145
2017,13,37.82,7.49,"IDAHO","ID",.0018063,.0028229
2001,14,39.1,3,"ILLINOIS","IL",.0017149,.0521826
2010,14,33.95,3,"ILLINOIS","IL",.0023346,.0509784
2011,14,33.25,5,"ILLINOIS","IL",.0023999,.0492918
2012,14,33.25,5,"ILLINOIS","IL",.0030524,.048062
2013,14,38.81,5,"ILLINOIS","IL",.002603,.0465525
2014,14,38.81,5,"ILLINOIS","IL",.0029864,.0453555
2015,14,39.3,3.75,"ILLINOIS","IL",.0032133,.0459216
2016,14,39.3,3.75,"ILLINOIS","IL",.0031442,.0458205
2017,14,39.06,4.35,"ILLINOIS","IL",.0033543,.042057
2001,15,38.94,3.4,"INDIANA","IN",.0007202,.0107168
2010,15,33.81,3.4,"INDIANA","IN",.0010173,.010958
2011,15,33.81,3.4,"INDIANA","IN",.0010549,.0106823
2012,15,33.81,3.4,"INDIANA","IN",.0014589,.011452
2013,15,39.44,3.4,"INDIANA","IN",.0012468,.0111398
2014,15,39.44,3.4,"INDIANA","IN",.0014356,.0109487
2015,15,39.48,3.3,"INDIANA","IN",.0016041,.01155
2016,15,39.48,3.3,"INDIANA","IN",.0015699,.0116343
2017,15,39.51,3.23,"INDIANA","IN",.0016808,.0107802
2001,16,38.05,5.68,"IOWA","IA",.000544,.0038357
2010,16,32.74,6.47,"IOWA","IA",.0009622,.0048666
2011,16,32.74,6.47,"IOWA","IA",.0010767,.0051332
2012,16,32.74,6.47,"IOWA","IA",.0016822,.0062183
2013,16,38.55,5.64,"IOWA","IA",.0012268,.0051595
2014,16,38.55,5.64,"IOWA","IA",.0014665,.0052514
2015,16,38.55,5.64,"IOWA","IA",.0014921,.0050328
2016,16,38.55,5.64,"IOWA","IA",.0014507,.0050168
2017,16,38.55,5.64,"IOWA","IA",.0016326,.0048685
2001,17,37.74,6.49,"KANSAS","KS",.00085,.0054901
2010,17,32.74,6.45,"KANSAS","KS",.0014368,.0067851
2011,17,32.74,6.45,"KANSAS","KS",.0015334,.0068174
2012,17,32.74,6.45,"KANSAS","KS",.0021303,.0073065
2013,17,38.81,5,"KANSAS","KS",.0017726,.0068891
2014,17,38.85,4.89,"KANSAS","KS",.0020652,.0068368
2015,17,38.94,4.67,"KANSAS","KS",.002061,.0064012
2016,17,38.94,4.67,"KANSAS","KS",.0019709,.0062352
2017,17,38.7,5.28,"KANSAS","KS",.0021012,.0057276
2001,18,37.86,6.18,"KENTUCKY","KY",.0006139,.0056904
2010,18,32.9,6,"KENTUCKY","KY",.0009012,.0060444
2011,18,32.84,6.18,"KENTUCKY","KY",.0009095,.005727
