year,id,topfederalrate,topstaterate,state_full,state,millionaire_shr_tr,millionaire_share
2016,45,38.81,5,"UTAH","UT",.0023045,.0070952
2017,45,38.81,5,"UTAH","UT",.0025042,.0067913
2001,46,36.78,8.94,"VERMONT","VT",.00078,.0012382
2010,46,32.12,8.21,"VERMONT","VT",.0009279,.0010658
2011,46,32.12,8.21,"VERMONT","VT",.0010603,.0011407
2012,46,32.12,8.21,"VERMONT","VT",.0014629,.0012177
2013,46,37.43,8.46,"VERMONT","VT",.0012442,.0011726
2014,46,37.43,8.46,"VERMONT","VT",.0016415,.0013129
2015,46,37.24,8.95,"VERMONT","VT",.0015027,.0011364
2016,46,37.24,8.95,"VERMONT","VT",.0015958,.0012423
2017,46,37.24,8.95,"VERMONT","VT",.0016755,.0011251
2001,47,38,5.82,"VIRGINIA","VA",.0011896,.0211386
2010,47,33.02,5.65,"VIRGINIA","VA",.001819,.0245101
2011,47,33.02,5.65,"VIRGINIA","VA",.0019353,.0246861
2012,47,33.02,5.65,"VIRGINIA","VA",.0024219,.0239144
2013,47,38.48,5.83,"VIRGINIA","VA",.0020782,.0233642
2014,47,38.48,5.83,"VIRGINIA","VA",.0023685,.0227149
2015,47,38.48,5.83,"VIRGINIA","VA",.0025359,.0230072
2016,47,38.48,5.83,"VIRGINIA","VA",.0025598,.0239136
2017,47,38.48,5.83,"VIRGINIA","VA",.0028553,.0231355
2001,48,40.27,0,"WASHINGTON","WA",.0015376,.0225928
2010,48,35,0,"WASHINGTON","WA",.0017191,.0196832
2011,48,35,0,"WASHINGTON","WA",.0018256,.019704
2012,48,35,0,"WASHINGTON","WA",.0024904,.0209348
2013,48,40.79,0,"WASHINGTON","WA",.0021499,.0207552
2014,48,40.79,0,"WASHINGTON","WA",.0026595,.0220213
2015,48,40.79,0,"WASHINGTON","WA",.002855,.0227289
2016,48,40.79,0,"WASHINGTON","WA",.003038,.0253231
2017,48,40.79,0,"WASHINGTON","WA",.0035085,.0256106
2001,49,37.73,6.5,"WEST VIRGINIA","WV",.0003598,.0014226
2010,49,32.73,6.5,"WEST VIRGINIA","WV",.000706,.0019979
2011,49,32.73,6.5,"WEST VIRGINIA","WV",.0008199,.0021774
2012,49,32.73,6.5,"WEST VIRGINIA","WV",.0009639,.0019691
2013,49,38.21,6.5,"WEST VIRGINIA","WV",.0007012,.0016123
2014,49,38.21,6.5,"WEST VIRGINIA","WV",.0008685,.0016844
2015,49,38.21,6.5,"WEST VIRGINIA","WV",.0009091,.0016467
2016,49,38.21,6.5,"WEST VIRGINIA","WV",.0007173,.0013139
2017,49,38.21,6.5,"WEST VIRGINIA","WV",.0008999,.0014114
2001,50,37.63,6.75,"WISCONSIN","WI",.0008954,.0122184
2010,50,32.29,7.75,"WISCONSIN","WI",.0012514,.0123959
2011,50,32.29,7.75,"WISCONSIN","WI",.0013297,.0123699
2012,50,32.29,7.75,"WISCONSIN","WI",.0018898,.0136024
2013,50,37.76,7.65,"WISCONSIN","WI",.0015795,.0129573
2014,50,37.76,7.65,"WISCONSIN","WI",.0017394,.012113
2015,50,37.76,7.65,"WISCONSIN","WI",.0018763,.0123617
2016,50,37.76,7.65,"WISCONSIN","WI",.0019206,.0130438
2017,50,37.76,7.65,"WISCONSIN","WI",.0020162,.0118234
2001,51,40.27,0,"WYOMING","WY",.0016217,.002039
2010,51,35,0,"WYOMING","WY",.0022826,.0022798
2011,51,35,0,"WYOMING","WY",.0022836,.0022579
2012,51,35,0,"WYOMING","WY",.0030165,.0023578
2013,51,40.79,0,"WYOMING","WY",.0028177,.0023452
2014,51,40.79,0,"WYOMING","WY",.0033935,.0023532
2015,51,40.79,0,"WYOMING","WY",.0031585,.002041
2016,51,40.79,0,"WYOMING","WY",.0028582,.0018395
2017,51,40.79,0,"WYOMING","WY",.0032783,.0018206
