name,networth
"Dolby, Dagmar",3900
"Stine, Harry",3900
"Jannard, James",4000
"Tisch, Joan H",4000
"Ashkenazy, Ben",4000
"Spangler, Clemmie Dixon Jr",4000
"Morris, John",4000
"Bisciotti, Stephen J",4000
"Sutton, Jeff",4000
"Emmerson, Archie Aldis (Red)",4100
"Robertson, Julian H Jr",4100
"Perot, Henry Ross Sr",4100
"Reyes, M Jude",4100
"Reyes, J Christopher",4100
"Olenicoff, Igor",4200
"Cargill, Austen S II",4200
"Liebmann, Marianne Cargill",4200
"Warren, Kelcy",4200
"Scott, Walter Jr",4200
"Cargill, James R II",4200
"Pegula, Terrence",4300
"Jacobs, Jeremy Maurice Sr",4400
"Huang, Jen-Hsun",4400
"Weiner, Russ",4400
"Skoll, Jeffery",4400
"Marcus, Bernard",4500
"Sall, John",4500
"Stern, Leonard Norman",4500
"Commisso, Rocco",4500
"Caporella, Nick",4500
"Benioff, Marc",4500
"Rollins, Randall",4600
"Cathy, Dan",4600
"Cathy, Bubba",4600
"Rollins, Gary",4600
"Halle, Bruce",4600
"Jones, Paul Tudor II",4600
"Solow, Sheldon Henry",4700
"Druckenmiller, Stanley",4700
"Meyer, Gwendolyn Sontheim",4700
"Ingram, Martha Robinson Rivers",4700
"Domingo, Andres Santo",4800
"Ziff, Robert David",4800
"Pritzker, Karen",4800
"Domingo, Alejandro Santo",4800
"Ziff, Dirk Edward",4800
"Ziff, Daniel Morton",4800
"Rees-Jones, Trevor",4800
"Stryker, Ronda E",4800
"Hunt, Ray Lee",4900
"Siegel, David",4900
"Laurie, Nancy Walton",4900
"Davis, James S.",4900
"Gustavson, Tamara",4900
"Smith, Frederick Wallace",4900
"Lerner, Theodore Nathan",4900
"Overdeck, John",4900
"Hendricks, Diane",4900
"Bass, Robert Muse",4900
"Dolan, Charles Francis",5000
"Filo, David",5000
"Schmieding, Reinhold",5000
"Lucas, George",5000
"Redstone, Sumner Murray",5100
"Kalanick, Travis",5100
"Zell, Samuel",5100
"Kovner, Bruce",5200
"Rowling, Robert",5200
"Kravis, Henry R",5200
"Roberts, George R",5200
"Englander, Israel",5200
"Ilitch, Michael",5200
"Johnson, Rupert Harris Jr",5200
"DeVos, Richard Marvin",5400
"Roski, Edward P Jr",5500
"Frantz, Milane",5500
"Shaw, David E",5500
"Duncan, Scott",5500
"Kroenke, Ann Walton",5500
"Avara, Dannine",5500
"Williams, Randa",5500
"Newell, Gabe",5500
"Rich, Robert Edward Jr",5500
"Rales, Steven M",5500
"Wexner, Leslie Herbert",5600
"Jones, Jerral Wayne",5600
"Washington, Dennis",5700
"Gilbert, Daniel",5800
"Doerr, L John",5800
"Lauren, Ralph",5800
"Tu, John",6000
"Sun, David",6000
"Johnson, Charles Bartlett",6000
"MacMillan, Whitney",6000
"Walton, Christy",6100
"LeFrak, Richard",6100
"Love, Tom",6200
"Kraft, Robert",6200
"Mars, Victoria",6300
"Mars, Valerie",6300
"Mars, Pamela",6300
"Mars, Marijke",6300
"Black, Leon",6400
"Green, David",6400
"Acton, Brian",6400
"Sobrato, John Albert",6500
"Kinder, Richard D",6700
"Meijer, Hank",7000
"Khan, Shahid",7100
"Broad, Eli",7300
"Keinath, Pauline MacMillan",7400
"Kaiser, George B",7500
"Duffield, David A",7500
"Moore, Gordon Earle",7500
"Cook, Carl",7500
"Ross, Stephen M",7500
"Geffen, David",7800
"Paulson, John",7800
"Johnson, Edward Crosby III",7900
"Chambers, James",8000
"Taylor, Margaretta",8000
"Rayner, Katharine",8000
"Frist, Thomas F Jr",8100
"Kroenke, Stanley",8100
"Malone, John C",8200
"Soon-Shiong, Patrick",8300
"Schwab, Charles R",8400
"Kohler, Herbert V Jr",8500
"Griffin, Kenneth C",8500
"Goodnight, James",8900
"Arison, Micky",9400
"Koum, Jan",9600
"Omidyar, Pierre M",9600
"Menard, John R Jr",9900
"Lauder, Leonard Alan",10600
"Beal, Andrew",10900
"Hamm, Harold",11000
"Tepper, David",11000
"Perelman, Ronald Owen",11700
"Parry-Okedon, Blair",12000
"Kennedy, James",12000
"Murdoch, Keith Rupert",12000
"Newhouse, Donald Edward",12300
"Schwarzman, Stephen A",12600
"Schmidt, Eric",12600
"Anschutz, Philip Frederick",12600
"Cohen, Steven A",13000
"Walton, Lukas",13200
"Moskovitz, Dustin",13600
"Peterffy, Thomas",15100
"Ergen, Charles",15800
"Johnson, Abigail",16000
"Bren, Donald Leroy",16300
"Icahn, Carl Celian",16700
"Dalio, Ray",17000
"Simons, James H",18500
"Jobs, Laurene Powell",19400
"Blavatnik, Leonard",19600
"Allen, Paul Gardner",20600
"Musk, Elon",20800
"Soros, George",23000
"Dell, Michael",23200
"Knight, Philip Hampson",25200
"Mars, John Franklyn",25500
"Mars, Jacqueline",25500
"Ballmer, Steven Anthony",33600
"Adelson, Sheldon",35400
"Walton, Alice L",38200
"Walton, S Robson",38300
"Walton, Jim C",38400
"Brin, Sergey",43400
"Page, Larry E",44600
"Bloomberg, Michael Rubens",46800
"Koch, David Hamilton",48500
"Koch, Charles de Ganahl",48500
"Ellison, Lawrence Joseph",59000
"Zuckerberg, Mark",71000
"Buffett, Warren Edward",78000
"Bezos, Jeffrey P",81500
"Gates, William Henry III",89000
