year,id,topfederalrate,topstaterate,state_full
1978,22,66.24,5.38,"MASSACHUSETTS"
1979,22,47.32,5.38,"MASSACHUSETTS"
1980,22,47.32,5.38,"MASSACHUSETTS"
1981,22,47.32,5.38,"MASSACHUSETTS"
1982,22,47.31,5.38,"MASSACHUSETTS"
1983,22,47.31,5.38,"MASSACHUSETTS"
1984,22,47.31,5.38,"MASSACHUSETTS"
1985,22,47.31,5.38,"MASSACHUSETTS"
1986,22,47.5,5,"MASSACHUSETTS"
1987,22,36.58,5,"MASSACHUSETTS"
1988,22,26.6,5,"MASSACHUSETTS"
1989,22,26.5,5.38,"MASSACHUSETTS"
1990,22,26.33,5.95,"MASSACHUSETTS"
1991,22,29.99,6.25,"MASSACHUSETTS"
1992,22,30.09,5.95,"MASSACHUSETTS"
1993,22,38.43,5.95,"MASSACHUSETTS"
1994,22,38.43,5.95,"MASSACHUSETTS"
1995,22,38.43,5.95,"MASSACHUSETTS"
1996,22,38.43,5.95,"MASSACHUSETTS"
1997,22,38.43,5.95,"MASSACHUSETTS"
1998,22,38.43,5.95,"MASSACHUSETTS"
1999,22,38.43,5.95,"MASSACHUSETTS"
2000,22,38.47,5.85,"MASSACHUSETTS"
2001,22,38.08,5.6,"MASSACHUSETTS"
2002,22,37.71,5.3,"MASSACHUSETTS"
2003,22,34.19,5.3,"MASSACHUSETTS"
2004,22,34.19,5.3,"MASSACHUSETTS"
2005,22,34.19,5.3,"MASSACHUSETTS"
2006,22,33.84,5.3,"MASSACHUSETTS"
2007,22,33.84,5.3,"MASSACHUSETTS"
2008,22,33.49,5.3,"MASSACHUSETTS"
2009,22,33.49,5.3,"MASSACHUSETTS"
2010,22,33.15,5.3,"MASSACHUSETTS"
2011,22,33.15,5.3,"MASSACHUSETTS"
2012,22,33.16,5.25,"MASSACHUSETTS"
2013,22,38.71,5.25,"MASSACHUSETTS"
2014,22,38.73,5.2,"MASSACHUSETTS"
2015,22,38.75,5.15,"MASSACHUSETTS"
2016,22,38.77,5.1,"MASSACHUSETTS"
2017,22,38.77,5.1,"MASSACHUSETTS"
2018,22,37,5.1,"MASSACHUSETTS"
1977,23,66.78,4.6,"MICHIGAN"
1978,23,66.78,4.6,"MICHIGAN"
1979,23,47.71,4.6,"MICHIGAN"
1980,23,47.71,4.6,"MICHIGAN"
1981,23,47.7,4.6,"MICHIGAN"
1982,23,47.45,5.1,"MICHIGAN"
1983,23,46.83,6.35,"MICHIGAN"
1984,23,47.08,5.85,"MICHIGAN"
1985,23,47.33,5.33,"MICHIGAN"
1986,23,47.7,4.6,"MICHIGAN"
1987,23,36.73,4.6,"MICHIGAN"
1988,23,26.71,4.6,"MICHIGAN"
1989,23,26.71,4.6,"MICHIGAN"
1990,23,26.71,4.6,"MICHIGAN"
1991,23,30.5,4.6,"MICHIGAN"
1992,23,30.5,4.6,"MICHIGAN"
1993,23,38.97,4.6,"MICHIGAN"
1994,23,39.02,4.47,"MICHIGAN"
1995,23,39.05,4.4,"MICHIGAN"
1996,23,39.05,4.4,"MICHIGAN"
1997,23,39.05,4.4,"MICHIGAN"
1998,23,39.05,4.4,"MICHIGAN"
1999,23,39.05,4.4,"MICHIGAN"
2000,23,39.12,4.2,"MICHIGAN"
2001,23,38.63,4.2,"MICHIGAN"
2002,23,38.18,4.1,"MICHIGAN"
2003,23,34.65,4,"MICHIGAN"
2004,23,34.67,3.95,"MICHIGAN"
2005,23,34.68,3.9,"MICHIGAN"
2006,23,34.33,3.9,"MICHIGAN"
2007,23,34.3,4.01,"MICHIGAN"
2008,23,33.83,4.35,"MICHIGAN"
2009,23,33.83,4.35,"MICHIGAN"
2010,23,33.48,4.35,"MICHIGAN"
2011,23,33.48,4.35,"MICHIGAN"
2012,23,33.48,4.33,"MICHIGAN"
2013,23,39.1,4.25,"MICHIGAN"
2014,23,39.1,4.25,"MICHIGAN"
2015,23,39.1,4.25,"MICHIGAN"
2016,23,39.1,4.25,"MICHIGAN"
2017,23,39.1,4.25,"MICHIGAN"
2018,23,37,4.25,"MICHIGAN"
1977,24,66.48,5.03,"MINNESOTA"
1978,24,65.95,5.79,"MINNESOTA"
1979,24,45.36,9.29,"MINNESOTA"
1980,24,45.66,8.69,"MINNESOTA"
1981,24,45.66,8.69,"MINNESOTA"
1982,24,45.32,9.36,"MINNESOTA"
1983,24,45.18,9.65,"MINNESOTA"
1984,24,45.65,8.7,"MINNESOTA"
1985,24,46.24,7.53,"MINNESOTA"
1986,24,46.24,7.53,"MINNESOTA"
1987,24,35.03,9,"MINNESOTA"
1988,24,25.48,9,"MINNESOTA"
1989,24,25.48,9,"MINNESOTA"
1990,24,25.48,9,"MINNESOTA"
1991,24,29.22,8.75,"MINNESOTA"
1992,24,29.22,8.75,"MINNESOTA"
1993,24,37.32,8.75,"MINNESOTA"
1994,24,37.32,8.75,"MINNESOTA"
1995,24,37.32,8.75,"MINNESOTA"
1996,24,37.32,8.75,"MINNESOTA"
1997,24,37.32,8.75,"MINNESOTA"
1998,24,37.32,8.75,"MINNESOTA"
1999,24,37.52,8.24,"MINNESOTA"
2000,24,37.59,8.09,"MINNESOTA"
2001,24,37.11,8.09,"MINNESOTA"
2002,24,36.64,8.09,"MINNESOTA"
2003,24,33.22,8.09,"MINNESOTA"
2004,24,33.22,8.09,"MINNESOTA"
2005,24,33.22,8.09,"MINNESOTA"
2006,24,32.9,8.01,"MINNESOTA"
2007,24,32.9,8.01,"MINNESOTA"
2008,24,32.58,7.93,"MINNESOTA"
2009,24,32.58,7.93,"MINNESOTA"
2010,24,32.25,7.85,"MINNESOTA"
2011,24,32.17,8.09,"MINNESOTA"
2012,24,32.17,8.09,"MINNESOTA"
2013,24,36.65,10.44,"MINNESOTA"
2014,24,36.77,10.15,"MINNESOTA"
2015,24,36.77,10.15,"MINNESOTA"
2016,24,36.77,10.15,"MINNESOTA"
2017,24,36.77,10.15,"MINNESOTA"
2018,24,37,9.85,"MINNESOTA"
1977,25,67.85,3.08,"MISSISSIPPI"
1978,25,67.85,3.08,"MISSISSIPPI"
1979,25,48.08,3.85,"MISSISSIPPI"
1980,25,48.08,3.85,"MISSISSIPPI"
1981,25,48.08,3.85,"MISSISSIPPI"
1982,25,48.08,3.85,"MISSISSIPPI"
1983,25,47.62,4.76,"MISSISSIPPI"
1984,25,47.62,4.76,"MISSISSIPPI"
1985,25,47.62,4.76,"MISSISSIPPI"
1986,25,47.62,4.76,"MISSISSIPPI"
1987,25,36.67,4.76,"MISSISSIPPI"
1988,25,26.67,4.76,"MISSISSIPPI"
1989,25,26.67,4.76,"MISSISSIPPI"
1990,25,26.67,4.76,"MISSISSIPPI"
1991,25,30.36,5.07,"MISSISSIPPI"
1992,25,30.36,5.07,"MISSISSIPPI"
1993,25,38.78,5.07,"MISSISSIPPI"
1994,25,38.78,5.07,"MISSISSIPPI"
1995,25,38.78,5.07,"MISSISSIPPI"
1996,25,38.78,5.07,"MISSISSIPPI"
1997,25,38.78,5.07,"MISSISSIPPI"
1998,25,38.78,5.07,"MISSISSIPPI"
1999,25,38.78,5.07,"MISSISSIPPI"
2000,25,38.78,5.07,"MISSISSIPPI"
2001,25,38.29,5.07,"MISSISSIPPI"
2002,25,37.8,5.07,"MISSISSIPPI"
2003,25,34.28,5.07,"MISSISSIPPI"
2004,25,34.28,5.07,"MISSISSIPPI"
2005,25,34.28,5.07,"MISSISSIPPI"
2006,25,33.93,5.05,"MISSISSIPPI"
2007,25,33.93,5.05,"MISSISSIPPI"
2008,25,33.59,5.02,"MISSISSIPPI"
2009,25,33.59,5.02,"MISSISSIPPI"
2010,25,33.25,5,"MISSISSIPPI"
2011,25,33.25,5,"MISSISSIPPI"
2012,25,33.25,5,"MISSISSIPPI"
2013,25,38.78,5.07,"MISSISSIPPI"
2014,25,38.78,5.07,"MISSISSIPPI"
2015,25,38.78,5.07,"MISSISSIPPI"
2016,25,38.78,5.07,"MISSISSIPPI"
2017,25,38.78,5.07,"MISSISSIPPI"
2018,25,37,5,"MISSISSIPPI"
1977,26,68.68,1.88,"MISSOURI"
1978,26,68.68,1.88,"MISSOURI"
1979,26,48.46,3.09,"MISSOURI"
1980,26,48.46,3.09,"MISSOURI"
1981,26,48.46,3.09,"MISSOURI"
1982,26,48.45,3.09,"MISSOURI"
1983,26,48.45,3.09,"MISSOURI"
1984,26,48.45,3.09,"MISSOURI"
1985,26,48.45,3.09,"MISSOURI"
1986,26,48.45,3.09,"MISSOURI"
1987,26,37.05,3.78,"MISSOURI"
1988,26,26.77,4.39,"MISSOURI"
1989,26,26.77,4.39,"MISSOURI"
1990,26,26.77,4.39,"MISSOURI"
1991,26,30.58,4.35,"MISSOURI"
1992,26,30.58,4.35,"MISSOURI"
1993,26,39.31,3.74,"MISSOURI"
1994,26,38.38,6.07,"MISSOURI"
1995,26,38.38,6.07,"MISSOURI"
1996,26,38.38,6.07,"MISSOURI"
1997,26,38.38,6.07,"MISSOURI"
1998,26,38.38,6.07,"MISSOURI"
1999,26,38.38,6.07,"MISSOURI"
2000,26,38.38,6.07,"MISSOURI"
2001,26,37.9,6.07,"MISSOURI"
2002,26,37.41,6.07,"MISSOURI"
2003,26,33.92,6.07,"MISSOURI"
2004,26,33.92,6.07,"MISSOURI"
2005,26,33.92,6.07,"MISSOURI"
2006,26,33.59,6.02,"MISSOURI"
2007,26,33.59,6.02,"MISSOURI"
2008,26,33.27,5.96,"MISSOURI"
2009,26,33.27,5.96,"MISSOURI"
2010,26,32.94,5.9,"MISSOURI"
2011,26,32.94,5.9,"MISSOURI"
2012,26,32.94,5.9,"MISSOURI"
2013,26,38.38,6.08,"MISSOURI"
2014,26,38.38,6.08,"MISSOURI"
2015,26,38.38,6.08,"MISSOURI"
2016,26,38.38,6.08,"MISSOURI"
2017,26,38.38,6.08,"MISSOURI"
2018,26,37,5.9,"MISSOURI"
1977,27,67.23,3.97,"MONTANA"
1978,27,67.23,3.97,"MONTANA"
1979,27,46.79,6.44,"MONTANA"
1980,27,46.79,6.44,"MONTANA"
1981,27,47.1,5.82,"MONTANA"
1982,27,47.09,5.82,"MONTANA"
1983,27,47.09,5.82,"MONTANA"
1984,27,47.09,5.82,"MONTANA"
1985,27,47.09,5.82,"MONTANA"
1986,27,47.09,5.82,"MONTANA"
1987,27,35.5,7.81,"MONTANA"
1988,27,25.48,9.02,"MONTANA"
1989,27,25.71,8.17,"MONTANA"
1990,27,25.59,8.59,"MONTANA"
1991,27,29.42,8.09,"MONTANA"
1992,27,29.36,8.29,"MONTANA"
1993,27,37.82,7.51,"MONTANA"
1994,27,37.95,7.15,"MONTANA"
1995,27,37.95,7.15,"MONTANA"
1996,27,37.95,7.15,"MONTANA"
1997,27,37.95,7.15,"MONTANA"
1998,27,37.95,7.15,"MONTANA"
1999,27,37.95,7.15,"MONTANA"
2000,27,37.95,7.15,"MONTANA"
2001,27,37.45,7.21,"MONTANA"
2002,27,36.95,7.27,"MONTANA"
2003,27,33.37,7.66,"MONTANA"
2004,27,33.37,7.66,"MONTANA"
2005,27,33.56,7.11,"MONTANA"
2006,27,33.24,7.04,"MONTANA"
2007,27,33.24,7.04,"MONTANA"
2008,27,32.91,6.97,"MONTANA"
2009,27,32.91,6.97,"MONTANA"
2010,27,32.59,6.9,"MONTANA"
2011,27,32.51,7.11,"MONTANA"
2012,27,32.51,7.11,"MONTANA"
2013,27,37.97,7.11,"MONTANA"
2014,27,37.97,7.11,"MONTANA"
2015,27,37.97,7.11,"MONTANA"
2016,27,37.97,7.11,"MONTANA"
2017,27,37.97,7.11,"MONTANA"
2018,27,37,6.9,"MONTANA"
1977,28,62.15,11.19,"NEBRASKA"
1978,28,62.94,10.07,"NEBRASKA"
1979,28,44.4,11.19,"NEBRASKA"
1980,28,45.25,9.5,"NEBRASKA"
1981,28,45.3,9.39,"NEBRASKA"
1982,28,45.87,8.26,"NEBRASKA"
1983,28,45.45,9.09,"NEBRASKA"
1984,28,45.66,8.68,"NEBRASKA"
1985,28,45.45,9.09,"NEBRASKA"
1986,28,45.66,8.68,"NEBRASKA"
1987,28,36.23,5.9,"NEBRASKA"
1988,28,26.35,5.9,"NEBRASKA"
1989,28,26.35,5.9,"NEBRASKA"
1990,28,26.21,6.41,"NEBRASKA"
1991,28,29.78,6.92,"NEBRASKA"
1992,28,29.78,6.92,"NEBRASKA"
1993,28,37.95,7.16,"NEBRASKA"
1994,28,37.95,7.16,"NEBRASKA"
1995,28,37.95,7.16,"NEBRASKA"
1996,28,37.95,7.16,"NEBRASKA"
1997,28,38.08,6.85,"NEBRASKA"
1998,28,38.08,6.85,"NEBRASKA"
1999,28,38.08,6.85,"NEBRASKA"
2000,28,38.08,6.85,"NEBRASKA"
2001,28,37.6,6.85,"NEBRASKA"
2002,28,37.12,6.85,"NEBRASKA"
2003,28,33.6,7.01,"NEBRASKA"
2004,28,33.6,7.01,"NEBRASKA"
2005,28,33.6,7.01,"NEBRASKA"
2006,28,33.25,7.01,"NEBRASKA"
2007,28,33.25,7.01,"NEBRASKA"
2008,28,33.46,5.4,"NEBRASKA"
2009,28,33.46,5.4,"NEBRASKA"
2010,28,33.07,5.51,"NEBRASKA"
2011,28,33.07,5.51,"NEBRASKA"
2012,28,33.07,5.51,"NEBRASKA"
2013,28,38.01,7.02,"NEBRASKA"
2014,28,38.01,7.02,"NEBRASKA"
2015,28,38.01,7.02,"NEBRASKA"
2016,28,37.74,7.71,"NEBRASKA"
2017,28,37.74,7.71,"NEBRASKA"
2018,28,37,6.84,"NEBRASKA"
1977,29,70,0,"NEVADA"
1978,29,70,0,"NEVADA"
1979,29,50.01,0,"NEVADA"
1980,29,50.01,0,"NEVADA"
1981,29,50.01,0,"NEVADA"
1982,29,50,0,"NEVADA"
1983,29,50,0,"NEVADA"
1984,29,50,0,"NEVADA"
1985,29,50,0,"NEVADA"
1986,29,50,0,"NEVADA"
1987,29,38.5,0,"NEVADA"
1988,29,28,0,"NEVADA"
1989,29,28,0,"NEVADA"
1990,29,28,0,"NEVADA"
1991,29,31.93,0,"NEVADA"
1992,29,31.93,0,"NEVADA"
1993,29,40.79,0,"NEVADA"
1994,29,40.79,0,"NEVADA"
1995,29,40.79,0,"NEVADA"
1996,29,40.79,0,"NEVADA"
1997,29,40.79,0,"NEVADA"
1998,29,40.79,0,"NEVADA"
1999,29,40.79,0,"NEVADA"
2000,29,40.79,0,"NEVADA"
2001,29,40.27,0,"NEVADA"
2002,29,39.76,0,"NEVADA"
2003,29,36.05,0,"NEVADA"
2004,29,36.05,0,"NEVADA"
2005,29,36.05,0,"NEVADA"
2006,29,35.7,0,"NEVADA"
2007,29,35.7,0,"NEVADA"
2008,29,35.35,0,"NEVADA"
2009,29,35.35,0,"NEVADA"
2010,29,35,0,"NEVADA"
2011,29,35,0,"NEVADA"
2012,29,35,0,"NEVADA"
2013,29,40.79,0,"NEVADA"
2014,29,40.79,0,"NEVADA"
2015,29,40.79,0,"NEVADA"
2016,29,40.79,0,"NEVADA"
2017,29,40.79,0,"NEVADA"
2018,29,37,0,"NEVADA"
1977,30,70,0,"NEW HAMPSHIRE"
1978,30,70,0,"NEW HAMPSHIRE"
1979,30,50.01,0,"NEW HAMPSHIRE"
1980,30,50.01,0,"NEW HAMPSHIRE"
1981,30,50.01,0,"NEW HAMPSHIRE"
1982,30,50,0,"NEW HAMPSHIRE"
1983,30,50,0,"NEW HAMPSHIRE"
1984,30,50,0,"NEW HAMPSHIRE"
1985,30,50,0,"NEW HAMPSHIRE"
1986,30,50,0,"NEW HAMPSHIRE"
1987,30,38.5,0,"NEW HAMPSHIRE"
1988,30,28,0,"NEW HAMPSHIRE"
1989,30,28,0,"NEW HAMPSHIRE"
1990,30,28,0,"NEW HAMPSHIRE"
1991,30,31.93,0,"NEW HAMPSHIRE"
1992,30,31.93,0,"NEW HAMPSHIRE"
1993,30,40.79,0,"NEW HAMPSHIRE"
1994,30,40.79,0,"NEW HAMPSHIRE"
1995,30,40.79,0,"NEW HAMPSHIRE"
1996,30,40.79,0,"NEW HAMPSHIRE"
1997,30,40.79,0,"NEW HAMPSHIRE"
1998,30,40.79,0,"NEW HAMPSHIRE"
1999,30,40.79,0,"NEW HAMPSHIRE"
2000,30,40.79,0,"NEW HAMPSHIRE"
2001,30,40.27,0,"NEW HAMPSHIRE"
2002,30,39.76,0,"NEW HAMPSHIRE"
2003,30,36.05,0,"NEW HAMPSHIRE"
2004,30,36.05,0,"NEW HAMPSHIRE"
2005,30,36.05,0,"NEW HAMPSHIRE"
2006,30,35.7,0,"NEW HAMPSHIRE"
2007,30,35.7,0,"NEW HAMPSHIRE"
2008,30,35.35,0,"NEW HAMPSHIRE"
2009,30,35.35,0,"NEW HAMPSHIRE"
2010,30,35,0,"NEW HAMPSHIRE"
2011,30,35,0,"NEW HAMPSHIRE"
2012,30,35,0,"NEW HAMPSHIRE"
2013,30,40.79,0,"NEW HAMPSHIRE"
2014,30,40.79,0,"NEW HAMPSHIRE"
2015,30,40.79,0,"NEW HAMPSHIRE"
2016,30,40.79,0,"NEW HAMPSHIRE"
2017,30,40.79,0,"NEW HAMPSHIRE"
2018,30,37,0,"NEW HAMPSHIRE"
1977,31,68.25,2.5,"NEW JERSEY"
1978,31,68.25,2.5,"NEW JERSEY"
1979,31,48.76,2.5,"NEW JERSEY"
1980,31,48.76,2.5,"NEW JERSEY"
1981,31,48.76,2.5,"NEW JERSEY"
1982,31,48.75,2.5,"NEW JERSEY"
1983,31,48.25,3.5,"NEW JERSEY"
1984,31,48.25,3.5,"NEW JERSEY"
1985,31,48.25,3.5,"NEW JERSEY"
1986,31,48.25,3.5,"NEW JERSEY"
1987,31,37.15,3.5,"NEW JERSEY"
1988,31,27.02,3.5,"NEW JERSEY"
1989,31,27.02,3.5,"NEW JERSEY"
1990,31,27.02,3.5,"NEW JERSEY"
1991,31,29.76,7,"NEW JERSEY"
1992,31,29.76,7,"NEW JERSEY"
1993,31,38.02,7,"NEW JERSEY"
1994,31,38.15,6.65,"NEW JERSEY"
1995,31,38.18,6.58,"NEW JERSEY"
1996,31,38.27,6.37,"NEW JERSEY"
1997,31,38.27,6.37,"NEW JERSEY"
1998,31,38.27,6.37,"NEW JERSEY"
1999,31,38.27,6.37,"NEW JERSEY"
2000,31,38.27,6.37,"NEW JERSEY"
2001,31,37.78,6.37,"NEW JERSEY"
2002,31,37.3,6.37,"NEW JERSEY"
2003,31,33.82,6.37,"NEW JERSEY"
2004,31,32.91,8.97,"NEW JERSEY"
2005,31,32.91,8.97,"NEW JERSEY"
2006,31,32.56,8.97,"NEW JERSEY"
2007,31,32.56,8.97,"NEW JERSEY"
2008,31,32.21,8.97,"NEW JERSEY"
2009,31,31.59,10.75,"NEW JERSEY"
2010,31,31.86,8.97,"NEW JERSEY"
2011,31,31.86,8.97,"NEW JERSEY"
2012,31,31.86,8.97,"NEW JERSEY"
2013,31,37.24,8.97,"NEW JERSEY"
2014,31,37.24,8.97,"NEW JERSEY"
2015,31,37.24,8.97,"NEW JERSEY"
2016,31,37.24,8.97,"NEW JERSEY"
2017,31,37.24,8.97,"NEW JERSEY"
2018,31,37,8.97,"NEW JERSEY"
1977,32,63.7,9,"NEW MEXICO"
1978,32,63.7,9,"NEW MEXICO"
1979,32,45.5,9,"NEW MEXICO"
1980,32,45.5,9,"NEW MEXICO"
1981,32,46.65,6.7,"NEW MEXICO"
1982,32,47,6,"NEW MEXICO"
1983,32,46.1,7.8,"NEW MEXICO"
1984,32,46.1,7.8,"NEW MEXICO"
1985,32,46.1,7.8,"NEW MEXICO"
1986,32,46.1,7.8,"NEW MEXICO"
1987,32,35.23,8.5,"NEW MEXICO"
1988,32,25.62,8.5,"NEW MEXICO"
1989,32,25.62,8.5,"NEW MEXICO"
1990,32,25.62,8.5,"NEW MEXICO"
1991,32,29.22,8.75,"NEW MEXICO"
1992,32,29.22,8.75,"NEW MEXICO"
1993,32,37.32,8.75,"NEW MEXICO"
1994,32,37.32,8.75,"NEW MEXICO"
1995,32,37.32,8.75,"NEW MEXICO"
1996,32,37.32,8.75,"NEW MEXICO"
1997,32,37.32,8.75,"NEW MEXICO"
1998,32,37.44,8.45,"NEW MEXICO"
1999,32,37.44,8.45,"NEW MEXICO"
2000,32,37.44,8.45,"NEW MEXICO"
2001,32,36.97,8.45,"NEW MEXICO"
2002,32,36.5,8.45,"NEW MEXICO"
2003,32,33.27,7.93,"NEW MEXICO"
2004,32,33.6,7,"NEW MEXICO"
2005,32,34,5.87,"NEW MEXICO"
2006,32,33.81,5.41,"NEW MEXICO"
2007,32,33.81,5.41,"NEW MEXICO"
2008,32,33.62,4.95,"NEW MEXICO"
2009,32,33.62,4.95,"NEW MEXICO"
2010,32,33.28,4.9,"NEW MEXICO"
2011,32,33.28,4.9,"NEW MEXICO"
2012,32,33.28,4.9,"NEW MEXICO"
2013,32,38.79,5.05,"NEW MEXICO"
2014,32,38.79,5.05,"NEW MEXICO"
2015,32,38.79,5.05,"NEW MEXICO"
2016,32,38.79,5.05,"NEW MEXICO"
2017,32,38.79,5.05,"NEW MEXICO"
2018,32,37,4.9,"NEW MEXICO"
1977,33,59.5,15,"NEW YORK"
1978,33,59.5,15,"NEW YORK"
1979,33,44,12,"NEW YORK"
1980,33,44.5,11,"NEW YORK"
1981,33,45,10,"NEW YORK"
1982,33,45,10,"NEW YORK"
1983,33,45,10,"NEW YORK"
1984,33,45,10,"NEW YORK"
1985,33,45.25,9.5,"NEW YORK"
1986,33,45,10,"NEW YORK"
1987,33,35.23,8.5,"NEW YORK"
1988,33,25.65,8.38,"NEW YORK"
1989,33,25.8,7.88,"NEW YORK"
1990,33,25.8,7.88,"NEW YORK"
1991,33,29.48,7.91,"NEW YORK"
1992,33,29.48,7.91,"NEW YORK"
1993,33,37.65,7.91,"NEW YORK"
1994,33,37.65,7.91,"NEW YORK"
1995,33,37.77,7.63,"NEW YORK"
1996,33,37.95,7.16,"NEW YORK"
1997,33,38.06,6.89,"NEW YORK"
1998,33,38.06,6.89,"NEW YORK"
1999,33,38.06,6.89,"NEW YORK"
2000,33,38.06,6.89,"NEW YORK"
2001,33,37.58,6.89,"NEW YORK"
2002,33,37.1,6.89,"NEW YORK"
2003,33,33.34,7.74,"NEW YORK"
2004,33,33.34,7.74,"NEW YORK"
2005,33,33.34,7.74,"NEW YORK"
2006,33,33.29,6.88,"NEW YORK"
2007,33,33.29,6.88,"NEW YORK"
2008,33,32.95,6.86,"NEW YORK"
2009,33,32.21,8.98,"NEW YORK"
2010,33,31.86,8.97,"NEW YORK"
2011,33,31.86,8.97,"NEW YORK"
2012,33,32.6,6.85,"NEW YORK"
2013,33,38.06,6.89,"NEW YORK"
2014,33,38.06,6.89,"NEW YORK"
2015,33,38.06,6.89,"NEW YORK"
2016,33,38.06,6.89,"NEW YORK"
2017,33,38.06,6.89,"NEW YORK"
2018,33,37,6.95,"NEW YORK"
1977,34,65.1,7,"NORTH CAROLINA"
1978,34,65.1,7,"NORTH CAROLINA"
1979,34,46.5,7,"NORTH CAROLINA"
1980,34,46.5,7,"NORTH CAROLINA"
1981,34,46.5,7,"NORTH CAROLINA"
1982,34,46.5,7,"NORTH CAROLINA"
1983,34,46.5,7,"NORTH CAROLINA"
1984,34,46.5,7,"NORTH CAROLINA"
1985,34,46.5,7,"NORTH CAROLINA"
1986,34,46.5,7,"NORTH CAROLINA"
1987,34,35.8,7,"NORTH CAROLINA"
1988,34,26.04,7,"NORTH CAROLINA"
1989,34,26.04,7,"NORTH CAROLINA"
1990,34,26.04,7,"NORTH CAROLINA"
1991,34,29.46,7.98,"NORTH CAROLINA"
1992,34,29.46,7.98,"NORTH CAROLINA"
1993,34,37.63,7.98,"NORTH CAROLINA"
1994,34,37.63,7.98,"NORTH CAROLINA"
1995,34,37.63,7.98,"NORTH CAROLINA"
1996,34,37.63,7.98,"NORTH CAROLINA"
1997,34,37.63,7.98,"NORTH CAROLINA"
1998,34,37.63,7.98,"NORTH CAROLINA"
1999,34,37.63,7.98,"NORTH CAROLINA"
2000,34,37.63,7.98,"NORTH CAROLINA"
2001,34,36.95,8.5,"NORTH CAROLINA"
2002,34,36.48,8.5,"NORTH CAROLINA"
2003,34,33.08,8.5,"NORTH CAROLINA"
2004,34,33.08,8.5,"NORTH CAROLINA"
2005,34,33.08,8.5,"NORTH CAROLINA"
2006,34,32.75,8.41,"NORTH CAROLINA"
2007,34,32.84,8.16,"NORTH CAROLINA"
2008,34,32.61,7.83,"NORTH CAROLINA"
2009,34,32.53,8.06,"NORTH CAROLINA"
2010,34,32.21,7.98,"NORTH CAROLINA"
2011,34,32.29,7.75,"NORTH CAROLINA"
2012,34,32.29,7.75,"NORTH CAROLINA"
2013,34,37.63,7.98,"NORTH CAROLINA"
2014,34,38.49,5.8,"NORTH CAROLINA"
2015,34,38.51,5.75,"NORTH CAROLINA"
2016,34,38.51,5.75,"NORTH CAROLINA"
2017,34,38.61,5.5,"NORTH CAROLINA"
2018,34,37,5.5,"NORTH CAROLINA"
1977,35,67.96,2.91,"NORTH DAKOTA"
1978,35,68.46,2.2,"NORTH DAKOTA"
1979,35,48.9,2.2,"NORTH DAKOTA"
1980,35,48.9,2.2,"NORTH DAKOTA"
1981,35,48.87,2.26,"NORTH DAKOTA"
1982,35,48.19,3.61,"NORTH DAKOTA"
1983,35,47.85,4.31,"NORTH DAKOTA"
1984,35,47.85,4.31,"NORTH DAKOTA"
1985,35,47.85,4.31,"NORTH DAKOTA"
1986,35,47.85,4.31,"NORTH DAKOTA"
1987,35,36.53,5.11,"NORTH DAKOTA"
1988,35,26.94,3.77,"NORTH DAKOTA"
1989,35,26.94,3.77,"NORTH DAKOTA"
1990,35,26.94,3.77,"NORTH DAKOTA"
1991,35,30.6,4.28,"NORTH DAKOTA"
1992,35,30.6,4.28,"NORTH DAKOTA"
1993,35,38.65,5.41,"NORTH DAKOTA"
1994,35,38.65,5.41,"NORTH DAKOTA"
1995,35,38.65,5.41,"NORTH DAKOTA"
1996,35,38.65,5.41,"NORTH DAKOTA"
1997,35,38.65,5.41,"NORTH DAKOTA"
1998,35,38.65,5.41,"NORTH DAKOTA"
1999,35,38.65,5.41,"NORTH DAKOTA"
2000,35,38.65,5.41,"NORTH DAKOTA"
2001,35,38.16,5.41,"NORTH DAKOTA"
2002,35,37.67,5.41,"NORTH DAKOTA"
2003,35,34.16,5.41,"NORTH DAKOTA"
2004,35,34.16,5.41,"NORTH DAKOTA"
2005,35,34.16,5.41,"NORTH DAKOTA"
2006,35,33.83,5.35,"NORTH DAKOTA"
2007,35,33.83,5.35,"NORTH DAKOTA"
2008,35,33.49,5.3,"NORTH DAKOTA"
2009,35,33.71,4.68,"NORTH DAKOTA"
2010,35,33.38,4.63,"NORTH DAKOTA"
2011,35,33.66,3.84,"NORTH DAKOTA"
2012,35,33.66,3.84,"NORTH DAKOTA"
2013,35,39.52,3.21,"NORTH DAKOTA"
2014,35,39.52,3.21,"NORTH DAKOTA"
2015,35,39.64,2.9,"NORTH DAKOTA"
2016,35,39.64,2.9,"NORTH DAKOTA"
2017,35,39.64,2.9,"NORTH DAKOTA"
2018,35,37,2.9,"NORTH DAKOTA"
1977,36,67.67,3.33,"OHIO"
1978,36,67.67,3.33,"OHIO"
1979,36,48.34,3.33,"OHIO"
1980,36,48.34,3.33,"OHIO"
1981,36,48.34,3.33,"OHIO"
1982,36,47.03,5.94,"OHIO"
1983,36,45.69,8.62,"OHIO"
1984,36,45.49,9.03,"OHIO"
1985,36,45.71,8.57,"OHIO"
1986,36,45.94,8.12,"OHIO"
1987,36,35.98,6.56,"OHIO"
1988,36,26.16,6.56,"OHIO"
1989,36,26.07,6.9,"OHIO"
1990,36,26.07,6.9,"OHIO"
1991,36,29.79,6.9,"OHIO"
1992,36,29.79,6.9,"OHIO"
